animal,measurement,feed_type,side,measurement_type
NA,20.1,saline,NA,sucrose_consumption
NA,20.8,saline,NA,sucrose_consumption
NA,15.7,saline,NA,sucrose_consumption
NA,15.8,saline,NA,sucrose_consumption
NA,19.3,saline,NA,sucrose_consumption
NA,31.4,saline,NA,sucrose_consumption
NA,13.1,saline,NA,sucrose_consumption
NA,17.9,saline,NA,sucrose_consumption
NA,2.9,saline,NA,sucrose_consumption
NA,19.6,saline,NA,sucrose_consumption
NA,17.3,saline,NA,sucrose_consumption
NA,13.4,saline,NA,sucrose_consumption
NA,20.3,saline,NA,sucrose_consumption
NA,13.9,saline,NA,sucrose_consumption
NA,26.5,saline,NA,sucrose_consumption
NA,14.4,saline,NA,sucrose_consumption
NA,15,saline,NA,sucrose_consumption
NA,7.2,saline,NA,sucrose_consumption
NA,12,saline,NA,sucrose_consumption
NA,18,saline,NA,sucrose_consumption
NA,7.2,saline,NA,sucrose_consumption
NA,12.9,saline,NA,sucrose_consumption
NA,18.6,saline,NA,sucrose_consumption
NA,14.4,saline,NA,sucrose_consumption
NA,6.4,saline,NA,sucrose_consumption
NA,16.8,saline,NA,sucrose_consumption
NA,9.3,saline,NA,sucrose_consumption
NA,10.7,saline,NA,sucrose_consumption
NA,10,saline,NA,sucrose_consumption
NA,15.3,saline,NA,sucrose_consumption
NA,16.3,saline,NA,sucrose_consumption
NA,5.4,saline,NA,sucrose_consumption
NA,7,saline,NA,sucrose_consumption
NA,12.9,saline,NA,sucrose_consumption
NA,7.1,saline,NA,sucrose_consumption
NA,25,saline,NA,sucrose_consumption
NA,19.9,saline,NA,sucrose_consumption
NA,13.8,saline,NA,sucrose_consumption
NA,9.6,saline,NA,sucrose_consumption
NA,14.8,saline,NA,sucrose_consumption
NA,20.5,saline,NA,sucrose_consumption
NA,16.1,saline,NA,sucrose_consumption
NA,17.9,saline,NA,sucrose_consumption
NA,14.3,saline,NA,sucrose_consumption
NA,17.3,saline,NA,sucrose_consumption
NA,11.9,saline,NA,sucrose_consumption
NA,0.6,saline,NA,sucrose_consumption
NA,14.7,saline,NA,sucrose_consumption
NA,5.7,saline,NA,sucrose_consumption
NA,30.5,saline,NA,sucrose_consumption
NA,19.2,saline,NA,sucrose_consumption
NA,16.7,saline,NA,sucrose_consumption
NA,12.6,saline,NA,sucrose_consumption
NA,22,saline,NA,sucrose_consumption
NA,15.3,saline,NA,sucrose_consumption
NA,23.2,saline,NA,sucrose_consumption
NA,13.4,saline,NA,sucrose_consumption
NA,12.8,saline,NA,sucrose_consumption
NA,18.2,saline,NA,sucrose_consumption
NA,19.9,saline,NA,sucrose_consumption
NA,12.9,saline,NA,sucrose_consumption
NA,21,saline,NA,sucrose_consumption
NA,14.8,saline,NA,sucrose_consumption
NA,13.4,saline,NA,sucrose_consumption
NA,12.4,saline,NA,sucrose_consumption
NA,19.4,saline,NA,sucrose_consumption
NA,20.9,saline,NA,sucrose_consumption
NA,20.6,saline,NA,sucrose_consumption
NA,14.5,saline,NA,sucrose_consumption
NA,13.3,saline,NA,sucrose_consumption
NA,20.6,saline,NA,sucrose_consumption
NA,12.7,saline,NA,sucrose_consumption
NA,10.9,saline,NA,sucrose_consumption
NA,9.3,saline,NA,sucrose_consumption
NA,21.2,saline,NA,sucrose_consumption
NA,21.3,saline,NA,sucrose_consumption
NA,14.6,saline,NA,sucrose_consumption
NA,13.1,saline,NA,sucrose_consumption
NA,17.9,saline,NA,sucrose_consumption
NA,11.5,saline,NA,sucrose_consumption
NA,12.7,saline,NA,sucrose_consumption
NA,14,saline,NA,sucrose_consumption
NA,12.3,saline,NA,sucrose_consumption
NA,10.9,saline,NA,sucrose_consumption
NA,22,saline,NA,sucrose_consumption
NA,23.2,saline,NA,sucrose_consumption
NA,3.1,saline,NA,sucrose_consumption
NA,16.9,saline,NA,sucrose_consumption
NA,12.8,saline,NA,sucrose_consumption
NA,5.7,saline,NA,sucrose_consumption
NA,13.5,saline,NA,sucrose_consumption
NA,9.1,saline,NA,sucrose_consumption
NA,15,saline,NA,sucrose_consumption
NA,15.6,saline,NA,sucrose_consumption
NA,17.4,saline,NA,sucrose_consumption
NA,24.8,saline,NA,sucrose_consumption
NA,8.1,saline,NA,sucrose_consumption
NA,16.3,saline,NA,sucrose_consumption
NA,26.6,saline,NA,sucrose_consumption
NA,24.9,saline,NA,sucrose_consumption
NA,13.6,saline,NA,sucrose_consumption
NA,9.9,saline,NA,sucrose_consumption
NA,23.6,saline,NA,sucrose_consumption
NA,14.4,saline,NA,sucrose_consumption
NA,13.3,saline,NA,sucrose_consumption
NA,13.4,saline,NA,sucrose_consumption
NA,10.9,saline,NA,sucrose_consumption
NA,14.8,saline,NA,sucrose_consumption
NA,8.2,saline,NA,sucrose_consumption
NA,8.8,saline,NA,sucrose_consumption
NA,10.9,saline,NA,sucrose_consumption
NA,18.9,saline,NA,sucrose_consumption
NA,12.4,saline,NA,sucrose_consumption
NA,14.7,saline,NA,sucrose_consumption
NA,17.8,saline,NA,sucrose_consumption
NA,6.8,saline,NA,sucrose_consumption
NA,12.5,saline,NA,sucrose_consumption
NA,17.7,saline,NA,sucrose_consumption
NA,18.2,saline,NA,sucrose_consumption
NA,8.9,saline,NA,sucrose_consumption
NA,14.6,saline,NA,sucrose_consumption
NA,17.1,saline,NA,sucrose_consumption
NA,24.1,saline,NA,sucrose_consumption
NA,17.9,saline,NA,sucrose_consumption
NA,18.5,saline,NA,sucrose_consumption
NA,15.8,saline,NA,sucrose_consumption
NA,0.4,saline,NA,sucrose_consumption
NA,10.6,saline,NA,sucrose_consumption
NA,27.8,saline,NA,sucrose_consumption
NA,13.9,saline,NA,sucrose_consumption
NA,23.2,saline,NA,sucrose_consumption
NA,24.6,saline,NA,sucrose_consumption
NA,18.4,saline,NA,sucrose_consumption
NA,19.2,saline,NA,sucrose_consumption
NA,27.3,saline,NA,sucrose_consumption
NA,17.4,saline,NA,sucrose_consumption
NA,17.6,saline,NA,sucrose_consumption
NA,12.6,saline,NA,sucrose_consumption
NA,12.4,saline,NA,sucrose_consumption
NA,10,saline,NA,sucrose_consumption
NA,13.2,saline,NA,sucrose_consumption
NA,23.8,saline,NA,sucrose_consumption
NA,11.1,saline,NA,sucrose_consumption
NA,22,saline,NA,sucrose_consumption
NA,10.1,saline,NA,sucrose_consumption
NA,10.4,saline,NA,sucrose_consumption
NA,14.5,saline,NA,sucrose_consumption
NA,22.3,saline,NA,sucrose_consumption
NA,49.1,pargyline,NA,sucrose_consumption
NA,36.9,pargyline,NA,sucrose_consumption
NA,41,pargyline,NA,sucrose_consumption
NA,33.8,pargyline,NA,sucrose_consumption
NA,56.8,pargyline,NA,sucrose_consumption
NA,63.8,pargyline,NA,sucrose_consumption
NA,42.8,pargyline,NA,sucrose_consumption
NA,40.6,pargyline,NA,sucrose_consumption
NA,44.7,pargyline,NA,sucrose_consumption
NA,54,pargyline,NA,sucrose_consumption
NA,28.1,pargyline,NA,sucrose_consumption
NA,63.7,pargyline,NA,sucrose_consumption
NA,60.2,pargyline,NA,sucrose_consumption
NA,39.4,pargyline,NA,sucrose_consumption
NA,44.8,pargyline,NA,sucrose_consumption
NA,58.8,pargyline,NA,sucrose_consumption
NA,38,pargyline,NA,sucrose_consumption
NA,43.4,pargyline,NA,sucrose_consumption
NA,60.4,pargyline,NA,sucrose_consumption
NA,35.1,pargyline,NA,sucrose_consumption
NA,17.1,pargyline,NA,sucrose_consumption
NA,47.2,pargyline,NA,sucrose_consumption
NA,47.2,pargyline,NA,sucrose_consumption
NA,43,pargyline,NA,sucrose_consumption
NA,49.8,pargyline,NA,sucrose_consumption
NA,56.4,pargyline,NA,sucrose_consumption
NA,40.1,pargyline,NA,sucrose_consumption
NA,37.5,pargyline,NA,sucrose_consumption
NA,45.8,pargyline,NA,sucrose_consumption
NA,36.6,pargyline,NA,sucrose_consumption
NA,54.2,pargyline,NA,sucrose_consumption
NA,64.5,pargyline,NA,sucrose_consumption
NA,51.9,pargyline,NA,sucrose_consumption
NA,70.7,pargyline,NA,sucrose_consumption
NA,51.4,pargyline,NA,sucrose_consumption
NA,44.4,pargyline,NA,sucrose_consumption
NA,43.2,pargyline,NA,sucrose_consumption
NA,47.5,pargyline,NA,sucrose_consumption
NA,52.7,pargyline,NA,sucrose_consumption
NA,49.3,pargyline,NA,sucrose_consumption
NA,39.5,pargyline,NA,sucrose_consumption
NA,30.9,pargyline,NA,sucrose_consumption
NA,19.8,pargyline,NA,sucrose_consumption
NA,45.7,pargyline,NA,sucrose_consumption
NA,49,pargyline,NA,sucrose_consumption
NA,36.6,pargyline,NA,sucrose_consumption
NA,44.4,pargyline,NA,sucrose_consumption
NA,66.7,pargyline,NA,sucrose_consumption
NA,55,pargyline,NA,sucrose_consumption
NA,41.6,pargyline,NA,sucrose_consumption
NA,30.3,pargyline,NA,sucrose_consumption
NA,58,pargyline,NA,sucrose_consumption
NA,45.6,pargyline,NA,sucrose_consumption
NA,48.3,pargyline,NA,sucrose_consumption
NA,54.4,pargyline,NA,sucrose_consumption
NA,42.4,pargyline,NA,sucrose_consumption
NA,61.2,pargyline,NA,sucrose_consumption
NA,38.2,pargyline,NA,sucrose_consumption
NA,47.8,pargyline,NA,sucrose_consumption
NA,57.3,pargyline,NA,sucrose_consumption
NA,51.9,pargyline,NA,sucrose_consumption
NA,61.6,pargyline,NA,sucrose_consumption
NA,36.8,pargyline,NA,sucrose_consumption
NA,53.6,pargyline,NA,sucrose_consumption
NA,28.4,pargyline,NA,sucrose_consumption
NA,48.4,pargyline,NA,sucrose_consumption
NA,50.7,pargyline,NA,sucrose_consumption
NA,34,pargyline,NA,sucrose_consumption
NA,51.7,pargyline,NA,sucrose_consumption
NA,40.2,pargyline,NA,sucrose_consumption
NA,67.2,pargyline,NA,sucrose_consumption
NA,64.1,pargyline,NA,sucrose_consumption
NA,48.3,pargyline,NA,sucrose_consumption
NA,52.7,pargyline,NA,sucrose_consumption
NA,48,pargyline,NA,sucrose_consumption
NA,55.7,pargyline,NA,sucrose_consumption
NA,35,pargyline,NA,sucrose_consumption
NA,59.5,pargyline,NA,sucrose_consumption
NA,54.1,pargyline,NA,sucrose_consumption
NA,43.7,pargyline,NA,sucrose_consumption
NA,47.4,pargyline,NA,sucrose_consumption
NA,62.2,pargyline,NA,sucrose_consumption
NA,39.4,pargyline,NA,sucrose_consumption
NA,64.9,pargyline,NA,sucrose_consumption
NA,40.7,pargyline,NA,sucrose_consumption
NA,31.3,pargyline,NA,sucrose_consumption
NA,38.5,pargyline,NA,sucrose_consumption
NA,49.2,pargyline,NA,sucrose_consumption
NA,41.4,pargyline,NA,sucrose_consumption
NA,28.8,pargyline,NA,sucrose_consumption
NA,61.5,pargyline,NA,sucrose_consumption
NA,61.3,pargyline,NA,sucrose_consumption
NA,31.4,pargyline,NA,sucrose_consumption
NA,26.6,pargyline,NA,sucrose_consumption
NA,55,pargyline,NA,sucrose_consumption
NA,42.7,pargyline,NA,sucrose_consumption
NA,39.2,pargyline,NA,sucrose_consumption
NA,46.8,pargyline,NA,sucrose_consumption
NA,36.8,pargyline,NA,sucrose_consumption
NA,50.8,pargyline,NA,sucrose_consumption
NA,40.7,pargyline,NA,sucrose_consumption
NA,38,pargyline,NA,sucrose_consumption
NA,21.1,pargyline,NA,sucrose_consumption
NA,45.8,pargyline,NA,sucrose_consumption
NA,60.6,pargyline,NA,sucrose_consumption
NA,40.7,pargyline,NA,sucrose_consumption
NA,64.6,pargyline,NA,sucrose_consumption
NA,23.4,pargyline,NA,sucrose_consumption
NA,61.2,pargyline,NA,sucrose_consumption
NA,20.1,pargyline,NA,sucrose_consumption
NA,51.1,pargyline,NA,sucrose_consumption
NA,44.4,pargyline,NA,sucrose_consumption
NA,43.7,pargyline,NA,sucrose_consumption
NA,42.1,pargyline,NA,sucrose_consumption
NA,23.1,pargyline,NA,sucrose_consumption
NA,45.2,pargyline,NA,sucrose_consumption
NA,58.5,pargyline,NA,sucrose_consumption
NA,56.5,pargyline,NA,sucrose_consumption
NA,55.4,pargyline,NA,sucrose_consumption
NA,41.9,pargyline,NA,sucrose_consumption
NA,48.2,pargyline,NA,sucrose_consumption
NA,57.6,pargyline,NA,sucrose_consumption
NA,37.1,pargyline,NA,sucrose_consumption
NA,45.5,pargyline,NA,sucrose_consumption
NA,42.9,pargyline,NA,sucrose_consumption
NA,47.4,pargyline,NA,sucrose_consumption
NA,36,pargyline,NA,sucrose_consumption
NA,37,pargyline,NA,sucrose_consumption
NA,38.7,pargyline,NA,sucrose_consumption
NA,56.5,pargyline,NA,sucrose_consumption
NA,43.9,pargyline,NA,sucrose_consumption
NA,44.8,pargyline,NA,sucrose_consumption
NA,54.8,pargyline,NA,sucrose_consumption
